Date,Open,High,Low,Close,Adj Close,Volume
7/11/23,184.380005,184.729996,182.419998,183.979996,181.312195,3915200
7/12/23,183.979996,184.610001,182.979996,183.169998,180.513931,6080100
7/13/23,185.800003,188.059998,183.259995,187.529999,184.810699,8223100
7/14/23,187.860001,188.630005,187.089996,188.210007,185.48085,4467000
7/17/23,186.339996,187.009995,185.419998,185.630005,182.938263,5637400
7/18/23,185.440002,186.820007,183.820007,184.449997,181.77536,5684100
7/19/23,185,186.600006,184.419998,186.259995,183.559128,4140800
7/20/23,187.5,189.990005,186.809998,189.300003,186.555054,5056500
7/21/23,190.110001,191.470001,189.300003,190.160004,187.402573,15021400
7/24/23,190.589996,191.429993,190.139999,190.919998,188.15155,4225800
7/25/23,190.410004,192.009995,190.059998,191.360001,188.585175,3521600
7/26/23,191.119995,192.380005,190.059998,191.600006,188.821701,3898900
7/27/23,192,192.289993,188.399994,188.529999,185.796204,4141800
7/28/23,190.139999,191.369995,189.789993,190.309998,187.550385,5602300
7/31/23,189.449997,189.589996,186.850006,187.460007,184.74173,5687700
8/1/23,187.490005,188.600006,186.399994,186.820007,184.111008,2853900
8/2/23,186.589996,189.970001,186.399994,188.309998,185.579391,4285900
8/3/23,188.169998,189.220001,186.970001,187.119995,184.406647,2857400
8/4/23,187.119995,188.009995,184.350006,184.600006,181.923203,4650400
8/7/23,185.279999,187.210007,185.100006,186.889999,184.179993,3323400
8/8/23,187.199997,187.479996,184.029999,184.440002,181.765518,5017900
8/9/23,183.880005,185,182.630005,183.979996,181.312195,4413100
8/10/23,184.220001,185.589996,183.529999,183.75,181.085526,3727200
8/11/23,184,184.279999,183.279999,184.039993,181.371307,2872500
8/14/23,184.389999,184.860001,183.130005,183.619995,180.957397,3385600
8/15/23,183.149994,183.460007,181.130005,181.350006,178.720337,3331800
8/16/23,181.600006,182.949997,180.949997,181.210007,178.582367,2633700
8/17/23,181.210007,181.410004,178.320007,178.449997,175.862366,4503000
8/18/23,178.460007,179.550003,177.270004,178.179993,175.596283,6020300
8/21/23,177.729996,177.960007,176.229996,177.050003,174.482681,4284100
8/22/23,176.179993,176.820007,175.309998,175.699997,173.152237,3491500
8/23/23,177.25,178.279999,176.369995,178.119995,175.537155,4042700
8/24/23,178.009995,180.440002,177.100006,177.179993,174.610794,5709800
8/25/23,178.059998,179.710007,177.839996,179.419998,176.818298,4710700
8/28/23,180.820007,181.179993,179.339996,180.25,177.636276,3189800
8/29/23,180.300003,181.220001,179.020004,180.929993,178.306412,4368600
8/30/23,181.460007,182.259995,180.720001,181.080002,178.454239,3153400
8/31/23,179.339996,179.630005,177.860001,177.919998,176.573578,5566700
9/1/23,178.729996,178.809998,174.639999,175.320007,173.993256,4800400
9/5/23,175.270004,175.880005,173.649994,174.160004,172.842026,5081800
9/6/23,174.919998,174.990005,173.479996,174.729996,173.407715,5933800
9/7/23,175.850006,177.059998,175.210007,176.399994,175.065079,4934300
9/8/23,175.809998,177.149994,175.610001,176.270004,174.936066,2995000
9/11/23,176.830002,179.429993,176.830002,178.929993,177.575928,4512700
9/12/23,178.740005,178.919998,177.800003,178.270004,176.920929,3331100
9/13/23,178.330002,180.139999,178.210007,179.679993,178.320251,3781400
9/14/23,179.940002,181.690002,179.330002,181.229996,179.858521,4118300
9/15/23,181.410004,181.820007,179.610001,179.839996,178.479034,11656000
9/18/23,181,181,178.429993,179.380005,178.022537,3182600
9/19/23,178.860001,179.130005,177.300003,178.320007,176.970551,3369300
9/20/23,179.089996,179.419998,177.559998,178.380005,177.030106,3695800
9/21/23,178.100006,178.330002,175.130005,175.380005,174.052795,5351000
9/22/23,174.940002,176.389999,174.369995,175.270004,173.943634,4542300
9/25/23,174.679993,175.440002,173.179993,174.330002,173.010742,3553600
9/26/23,173,173.720001,171.639999,172.520004,171.214447,5213700
9/27/23,172.309998,172.690002,169.029999,169.570007,168.286774,5729900
9/28/23,169.929993,170.179993,168.179993,169.5,168.2173,4841600
9/29/23,170.509995,170.839996,168.039993,169.440002,168.157745,5194200
10/2/23,169.080002,169.490005,167.320007,169.169998,167.889786,3838800
10/3/23,168.860001,170,167.029999,167.699997,166.430908,4873400
10/4/23,168.449997,169.130005,167.059998,168.910004,167.63176,4134000
10/5/23,168.770004,168.809998,159.869995,160.100006,158.888443,10556400
10/6/23,158.779999,160.919998,155.830002,160.289993,159.076981,12770700
10/9/23,160,161.419998,158.639999,161.360001,160.138901,7244500
10/10/23,164.25,165.179993,162.029999,164.399994,163.155884,11456400
10/11/23,165.009995,165.440002,161.600006,162.619995,161.389359,7371500
10/12/23,162.600006,162.649994,157.429993,158.080002,156.883713,9024100
10/13/23,158.619995,160.240005,157.949997,160,158.789185,6757100
10/16/23,161,161.949997,159.800003,161.080002,159.861008,5605000
10/17/23,160,161.630005,159.160004,160.369995,159.156387,6411300
10/18/23,161.020004,163.399994,160.869995,162.029999,160.803818,6650600
10/19/23,161.899994,162.720001,160.410004,160.559998,159.34494,6336800
10/20/23,161.369995,162.229996,159.710007,160,158.789185,5485800
10/23/23,159.600006,161.600006,159.059998,160.080002,158.868576,5795800
10/24/23,160.410004,162.850006,159.679993,162.190002,160.962616,5265200
10/25/23,162.050003,163.5,161.470001,162.350006,161.121414,4534600
10/26/23,162.679993,163.360001,161.300003,161.410004,160.188522,5147000
10/27/23,162.020004,162.139999,158.889999,159.619995,158.412064,5078000
10/30/23,161.300003,162.580002,160.740005,162.279999,161.051926,4625900
10/31/23,162.949997,163.350006,161.660004,163.279999,162.044357,5947400
11/1/23,163.669998,165.429993,162.759995,164.869995,163.62233,6682500
11/2/23,164.740005,167.160004,164.669998,166.830002,165.567505,5413400
11/3/23,168.679993,168.809998,166.690002,166.789993,165.527802,4063000
11/6/23,165.460007,167.5,165.210007,166.699997,165.438477,5784600
11/7/23,166.800003,167.710007,166.119995,167.179993,165.914841,4687200
11/8/23,168.169998,168.339996,166.660004,167.389999,166.12326,4926600
11/9/23,167.580002,167.860001,165.809998,166.160004,164.902573,5639300
11/10/23,167.309998,167.779999,164.860001,166.919998,165.656815,5552900
11/13/23,167,168.779999,166.460007,167.770004,166.500397,5402300
11/14/23,167.949997,168.440002,166.889999,168.110001,166.837814,6238900
11/15/23,168.699997,168.789993,166.270004,167.25,165.984314,5611200
11/16/23,168.389999,170,166.399994,167.710007,166.440842,5386400
11/17/23,168.050003,168.25,165.770004,166.759995,165.498032,5583100
11/20/23,166,166.770004,165.720001,166.520004,165.259857,4886200
11/21/23,167.110001,167.860001,165.919998,167.800003,166.530167,3980000
11/22/23,168.350006,169.570007,168.300003,169.220001,167.939407,3235600
11/24/23,168.949997,170.020004,168.949997,169.369995,168.088272,1751700
11/27/23,169.699997,169.699997,168.089996,168.320007,167.046234,3664700
11/28/23,168.380005,169.759995,168.020004,168.860001,167.582138,4056100
11/29/23,169.100006,169.119995,166.649994,167.160004,165.895004,4722400
11/30/23,166.110001,168.360001,164.820007,168.289993,168.289993,7346700
12/1/23,168.369995,168.850006,167.380005,168.690002,168.690002,4893900
12/4/23,168.399994,169.919998,168.190002,169.139999,169.139999,5323300
12/5/23,169.149994,169.570007,167.710007,167.940002,167.940002,4553800
12/6/23,167.979996,168.320007,166.729996,167.509995,167.509995,4726600
12/7/23,168,168.300003,166.699997,167.460007,167.460007,4934800
12/8/23,167.039993,167.119995,165.270004,165.679993,165.679993,4655363
